Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CRUD API Tesing,,,,12-02-2024 23:27:01,12-02-2024 23:27:08,6.916s,PASSED
,,,,,,,
Test Cases/Get User id-1,,,,12-02-2024 23:27:01,12-02-2024 23:27:04,2.876s,PASSED
"response = sendRequest(findTestObject(""User""))",,,,12-02-2024 23:27:01,12-02-2024 23:27:04,2.404s,PASSED
"verifyResponseStatusCode(response, 200)",,,,12-02-2024 23:27:04,12-02-2024 23:27:04,0.021s,PASSED
"verifyElementPropertyValue(response, ""id"", ""1"")",,,,12-02-2024 23:27:04,12-02-2024 23:27:04,0.069s,PASSED
,,,,,,,
Test Cases/Post Resource,,,,12-02-2024 23:27:04,12-02-2024 23:27:05,1.404s,PASSED
"response = sendRequest(findTestObject(""Post""))",,,,12-02-2024 23:27:04,12-02-2024 23:27:05,1.106s,PASSED
"verifyResponseStatusCode(response, 201)",,,,12-02-2024 23:27:05,12-02-2024 23:27:05,0.011s,PASSED
"verifyElementPropertyValue(response, ""title"", ""Buku kita"")",,,,12-02-2024 23:27:05,12-02-2024 23:27:05,0.094s,PASSED
"verifyElementPropertyValue(response, ""body"", ""bagus"")",,,,12-02-2024 23:27:05,12-02-2024 23:27:05,0.055s,PASSED
"verifyElementPropertyValue(response, ""userId"", ""9"")",,,,12-02-2024 23:27:05,12-02-2024 23:27:05,0.075s,PASSED
,,,,,,,
Test Cases/Update Data,,,,12-02-2024 23:27:05,12-02-2024 23:27:07,1.153s,PASSED
"response = sendRequest(findTestObject(""Update""))",,,,12-02-2024 23:27:05,12-02-2024 23:27:06,0.971s,PASSED
"verifyResponseStatusCode(response, 200)",,,,12-02-2024 23:27:06,12-02-2024 23:27:06,0.003s,PASSED
"verifyElementPropertyValue(response, ""id"", ""1"")",,,,12-02-2024 23:27:06,12-02-2024 23:27:06,0.022s,PASSED
"verifyElementPropertyValue(response, ""title"", ""FooMa"")",,,,12-02-2024 23:27:06,12-02-2024 23:27:06,0.025s,PASSED
"verifyElementPropertyValue(response, ""body"", ""baroKah"")",,,,12-02-2024 23:27:06,12-02-2024 23:27:07,0.028s,PASSED
"verifyElementPropertyValue(response, ""userId"", ""1"")",,,,12-02-2024 23:27:07,12-02-2024 23:27:07,0.027s,PASSED
,,,,,,,
Test Cases/Delete User,,,,12-02-2024 23:27:07,12-02-2024 23:27:08,1.085s,PASSED
"response = sendRequest(findTestObject(""Delete Resource""))",,,,12-02-2024 23:27:07,12-02-2024 23:27:08,1.030s,PASSED
"verifyResponseStatusCode(response, 200)",,,,12-02-2024 23:27:08,12-02-2024 23:27:08,0.006s,PASSED
